product_id,date,revenue,units_sold,weather_condition,weather_temp,customer_flow,discount_percentage,sales_uid
Coffee Beans,2024-12-09,495.0,33,Rainy,12.7,44,0,gen_ccf44feadc
Milk,2024-12-09,225.0,75,Rainy,12.7,107,0,gen_c94a4c22f2
Croissant,2024-12-09,252.0,56,Rainy,12.7,88,0,gen_ea3d3608f4
Muffin,2024-12-09,129.5,37,Rainy,12.7,48,0,gen_2d55009871
Sandwich,2024-12-09,264.0,33,Rainy,12.7,49,0,gen_cae79d68fe
Juice,2024-12-09,255.0,51,Rainy,12.7,84,0,gen_f071047dbf
Tea,2024-12-09,192.0,48,Rainy,12.7,74,0,gen_dfb1690cc0
Cake,2024-12-09,138.0,23,Rainy,12.7,36,0,gen_368af0106e
Salad,2024-12-09,180.0,20,Rainy,12.7,27,0,gen_e354400106
Wrap,2024-12-09,210.0,28,Rainy,12.7,49,0,gen_7487718767
Coffee Beans,2024-12-10,855.0,57,Sunny,11.2,76,0,gen_1a8763c888
Milk,2024-12-10,288.0,96,Sunny,11.2,130,0,gen_ae046323a5
Croissant,2024-12-10,342.0,76,Sunny,11.2,104,0,gen_cbe2bc39e7
Muffin,2024-12-10,220.5,63,Sunny,11.2,101,0,gen_a51d7ba45f
Sandwich,2024-12-10,309.6,43,Sunny,11.2,72,10,gen_2b55b11fac
Juice,2024-12-10,310.0,62,Sunny,11.2,94,0,gen_a923c8b5c0
Tea,2024-12-10,240.0,60,Sunny,11.2,86,0,gen_011c68cde1
Cake,2024-12-10,186.0,31,Sunny,11.2,47,0,gen_cd6caa933b
Salad,2024-12-10,252.0,28,Sunny,11.2,40,0,gen_a208f09842
Wrap,2024-12-10,292.5,39,Sunny,11.2,66,0,gen_3c6df08c28
Coffee Beans,2024-12-11,555.0,37,Rainy,9.4,63,0,gen_38e4cff206
Milk,2024-12-11,240.0,80,Rainy,9.4,124,0,gen_edb3b04448
Croissant,2024-12-11,273.6,76,Rainy,9.4,131,20,gen_1bd68a7450
Muffin,2024-12-11,157.5,45,Rainy,9.4,68,0,gen_8c3b247a7e
Sandwich,2024-12-11,240.0,30,Rainy,9.4,47,0,gen_619aab0795
Juice,2024-12-11,245.0,49,Rainy,9.4,73,0,gen_50eed5b4ab
Tea,2024-12-11,180.0,45,Rainy,9.4,70,0,gen_71ed58d3a4
Cake,2024-12-11,124.2,23,Rainy,9.4,37,10,gen_8b93e8fa61
Salad,2024-12-11,153.0,17,Rainy,9.4,25,0,gen_c5406cf672
Wrap,2024-12-11,172.5,23,Rainy,9.4,39,0,gen_1b4396ac58
Coffee Beans,2024-12-12,795.0,53,Sunny,16.0,78,0,gen_f7317a9667
Milk,2024-12-12,312.0,104,Sunny,16.0,125,0,gen_ab48070435
Croissant,2024-12-12,373.5,83,Sunny,16.0,107,0,gen_27ee4acdf3
Muffin,2024-12-12,192.5,55,Sunny,16.0,69,0,gen_ea7f198822
Sandwich,2024-12-12,326.4,48,Sunny,16.0,62,15,gen_6da0f8b76c
Juice,2024-12-12,350.0,70,Sunny,16.0,121,0,gen_faea026b2c
Tea,2024-12-12,224.0,56,Sunny,16.0,91,0,gen_785fd37fcb
Cake,2024-12-12,180.0,30,Sunny,16.0,49,0,gen_29f2696747
Salad,2024-12-12,243.0,27,Sunny,16.0,34,0,gen_12946d9dcd
Wrap,2024-12-12,232.5,31,Sunny,16.0,46,0,gen_fe79922f0e
Coffee Beans,2024-12-13,975.0,65,Sunny,10.1,109,0,gen_faf06b3433
Milk,2024-12-13,390.0,130,Sunny,10.1,190,0,gen_314d381d49
Croissant,2024-12-13,504.0,112,Sunny,10.1,178,0,gen_e37cb916bc
Muffin,2024-12-13,255.5,73,Sunny,10.1,94,0,gen_18682e06fc
Sandwich,2024-12-13,448.0,56,Sunny,10.1,88,0,gen_9d035571a1
Juice,2024-12-13,425.0,85,Sunny,10.1,150,0,gen_d6371ff221
Tea,2024-12-13,328.0,82,Sunny,10.1,100,0,gen_2a919ac304
Cake,2024-12-13,204.0,34,Sunny,10.1,42,0,gen_2a3be1a4c0
Salad,2024-12-13,252.0,28,Sunny,10.1,35,0,gen_ffaf40fb7f
Wrap,2024-12-13,307.5,41,Sunny,10.1,58,0,gen_93ababb25c
Coffee Beans,2024-12-14,1050.0,70,Cloudy,11.8,96,0,gen_4d5ea46b36
Milk,2024-12-14,492.0,164,Cloudy,11.8,274,0,gen_1ea8bab188
Croissant,2024-12-14,490.5,109,Cloudy,11.8,144,0,gen_6e164081cc
Muffin,2024-12-14,318.5,91,Cloudy,11.8,119,0,gen_9a237a628c
Sandwich,2024-12-14,416.0,52,Cloudy,11.8,84,0,gen_99de0a10f8
Juice,2024-12-14,560.0,112,Cloudy,11.8,142,0,gen_31d4a1b7fc
Tea,2024-12-14,421.6,124,Cloudy,11.8,161,15,gen_e47fd4ce06
Cake,2024-12-14,252.0,42,Cloudy,11.8,54,0,gen_d75764f916
Salad,2024-12-14,279.0,31,Cloudy,11.8,47,0,gen_b8ce80b1ee
Wrap,2024-12-14,322.5,43,Cloudy,11.8,55,0,gen_cbaaf466df
Coffee Beans,2024-12-16,780.0,52,Sunny,14.9,82,0,gen_a0a9797425
Milk,2024-12-16,398.25,177,Sunny,14.9,227,25,gen_f29e0cb092
Croissant,2024-12-16,378.68,99,Sunny,14.9,170,15,gen_de13e9c1eb
Muffin,2024-12-16,196.0,56,Sunny,14.9,97,0,gen_726494c3b2
Sandwich,2024-12-16,296.0,37,Sunny,14.9,63,0,gen_3c311c2d2c
Juice,2024-12-16,405.0,81,Sunny,14.9,135,0,gen_f38b9a9348
Tea,2024-12-16,252.0,63,Sunny,14.9,94,0,gen_c4cc31334e
Cake,2024-12-16,162.0,27,Sunny,14.9,37,0,gen_63d003da1a
Salad,2024-12-16,243.0,27,Sunny,14.9,41,0,gen_72086721b0
Wrap,2024-12-16,292.5,39,Sunny,14.9,50,0,gen_5ff34967ed
Coffee Beans,2024-12-17,930.0,62,Cloudy,17.1,94,0,gen_d78bf8dd40
Milk,2024-12-17,273.0,91,Cloudy,17.1,156,0,gen_ec5823fa34
Croissant,2024-12-17,328.5,73,Cloudy,17.1,92,0,gen_0a961bf40c
Muffin,2024-12-17,245.0,70,Cloudy,17.1,97,0,gen_f92ce92ace
Sandwich,2024-12-17,344.0,43,Cloudy,17.1,66,0,gen_1b4065f63d
Juice,2024-12-17,350.0,70,Cloudy,17.1,85,0,gen_b8041eae2f
Tea,2024-12-17,232.0,58,Cloudy,17.1,74,0,gen_68a29a7dc7
Cake,2024-12-17,192.0,32,Cloudy,17.1,39,0,gen_86f45ecbc6
Salad,2024-12-17,252.0,28,Cloudy,17.1,36,0,gen_e38da3212b
Wrap,2024-12-17,247.5,33,Cloudy,17.1,45,0,gen_d1f15ab6c5
Coffee Beans,2024-12-18,495.0,33,Rainy,7.2,49,0,gen_8eda31099a
Milk,2024-12-18,186.0,62,Rainy,7.2,107,0,gen_91eab4aba1
Croissant,2024-12-18,297.0,66,Rainy,7.2,85,0,gen_afed065596
Muffin,2024-12-18,140.0,40,Rainy,7.2,50,0,gen_3b3478e12c
Sandwich,2024-12-18,217.6,32,Rainy,7.2,56,15,gen_59087a6f61
Juice,2024-12-18,255.0,51,Rainy,7.2,66,0,gen_9cec67688a
Tea,2024-12-18,184.0,46,Rainy,7.2,78,0,gen_376dd3b632
Cake,2024-12-18,126.0,21,Rainy,7.2,25,0,gen_d55f67ebc8
Salad,2024-12-18,135.0,15,Rainy,7.2,19,0,gen_2117a5589f
Wrap,2024-12-18,178.5,28,Rainy,7.2,34,15,gen_9d1f961a7c
Coffee Beans,2024-12-19,645.0,43,Sunny,14.1,72,0,gen_0c8f422af1
Milk,2024-12-19,324.0,144,Sunny,14.1,174,25,gen_5ac596b3e0
Croissant,2024-12-19,373.5,83,Sunny,14.1,120,0,gen_4bc0fb2dd6
Muffin,2024-12-19,229.07,77,Sunny,14.1,127,15,gen_b7a95681d8
Sandwich,2024-12-19,296.0,37,Sunny,14.1,60,0,gen_0257390aa4
Juice,2024-12-19,355.0,71,Sunny,14.1,99,0,gen_aa9c4bfc5b
Tea,2024-12-19,256.0,64,Sunny,14.1,107,0,gen_17b9717730
Cake,2024-12-19,162.0,27,Sunny,14.1,45,0,gen_b8ababade4
Salad,2024-12-19,216.0,24,Sunny,14.1,35,0,gen_f13b0dd236
Wrap,2024-12-19,247.5,33,Sunny,14.1,48,0,gen_2dcfbf2c15
Coffee Beans,2024-12-20,780.0,52,Sunny,10.4,69,0,gen_a3c5be02b6
Milk,2024-12-20,339.0,113,Sunny,10.4,170,0,gen_1d449fb9f7
Croissant,2024-12-20,463.5,103,Sunny,10.4,155,0,gen_21a30b3bed
Muffin,2024-12-20,287.0,82,Sunny,10.4,130,0,gen_4390ffe223
Sandwich,2024-12-20,400.0,50,Sunny,10.4,63,0,gen_0a55081fb3
Juice,2024-12-20,395.0,79,Sunny,10.4,137,0,gen_c819bf0a7a
Tea,2024-12-20,288.0,90,Sunny,10.4,110,20,gen_599e88e8da
Cake,2024-12-20,234.0,39,Sunny,10.4,58,0,gen_612358aa66
