product_id,date,revenue,units_sold,weather_condition,weather_temp,customer_flow,discount_percentage,sales_uid
Coffee Beans,2024-12-09,735.0,49,Sunny,16.1,73,0,gen_d8abe4c7
Milk,2024-12-09,346.5,165,Sunny,16.1,247,30,gen_711775c9
Croissant,2024-12-09,373.5,83,Sunny,16.1,124,0,gen_d0b2e6a5
Muffin,2024-12-09,231.0,66,Sunny,16.1,99,0,gen_32cd63b6
Sandwich,2024-12-09,368.0,46,Sunny,16.1,69,0,gen_191426aa
Juice,2024-12-09,440.0,88,Sunny,16.1,132,0,gen_2048687e
Tea,2024-12-09,276.0,69,Sunny,16.1,103,0,gen_ab55b793
Cake,2024-12-09,180.0,30,Sunny,16.1,45,0,gen_da19fd52
Salad,2024-12-09,270.0,30,Sunny,16.1,45,0,gen_b96a1e4b
Wrap,2024-12-09,262.5,35,Sunny,16.1,52,0,gen_c1e98c24
Coffee Beans,2024-12-10,720.0,48,Cloudy,15.3,72,0,gen_f93e72b1
Milk,2024-12-10,288.0,96,Cloudy,15.3,144,0,gen_f8f39df8
Croissant,2024-12-10,409.5,91,Cloudy,15.3,136,0,gen_2ef1f913
Muffin,2024-12-10,227.5,65,Cloudy,15.3,97,0,gen_aaf03449
Sandwich,2024-12-10,331.2,46,Cloudy,15.3,69,10,gen_3c45f546
Juice,2024-12-10,390.0,78,Cloudy,15.3,117,0,gen_178d4931
Tea,2024-12-10,276.0,69,Cloudy,15.3,103,0,gen_4e551416
Cake,2024-12-10,204.0,34,Cloudy,15.3,51,0,gen_1e7b29f4
Salad,2024-12-10,225.0,25,Cloudy,15.3,37,0,gen_9bfbadba
Wrap,2024-12-10,285.0,38,Cloudy,15.3,57,0,gen_d7a6843d
Coffee Beans,2024-12-11,810.0,54,Sunny,16.9,81,0,gen_881a0214
Milk,2024-12-11,321.0,107,Sunny,16.9,160,0,gen_069c4ada
Croissant,2024-12-11,391.5,87,Sunny,16.9,130,0,gen_42e897a9
Muffin,2024-12-11,220.5,63,Sunny,16.9,94,0,gen_23a1eb7a
Sandwich,2024-12-11,330.4,59,Sunny,16.9,88,30,gen_1ae963b4
Juice,2024-12-11,465.0,93,Sunny,16.9,139,0,gen_1951196d
Tea,2024-12-11,248.0,62,Sunny,16.9,93,0,gen_3db39c9b
Cake,2024-12-11,204.0,34,Sunny,16.9,51,0,gen_2b87f359
Salad,2024-12-11,306.0,34,Sunny,16.9,51,0,gen_ac7ccf06
Wrap,2024-12-11,255.0,34,Sunny,16.9,51,0,gen_de1fc4e1
Coffee Beans,2024-12-12,810.0,54,Cloudy,13.9,81,0,gen_394a03b5
Milk,2024-12-12,321.0,107,Cloudy,13.9,160,0,gen_b72d4537
Croissant,2024-12-12,414.0,92,Cloudy,13.9,138,0,gen_6fd80370
Muffin,2024-12-12,213.5,61,Cloudy,13.9,91,0,gen_506bc21b
Sandwich,2024-12-12,312.0,39,Cloudy,13.9,58,0,gen_0aae5a83
Juice,2024-12-12,355.0,71,Cloudy,13.9,106,0,gen_5dd4368f
Tea,2024-12-12,260.0,65,Cloudy,13.9,97,0,gen_f76487f1
Cake,2024-12-12,192.0,32,Cloudy,13.9,48,0,gen_02b2c0f5
Salad,2024-12-12,243.0,27,Cloudy,13.9,40,0,gen_53c800ec
Wrap,2024-12-12,262.5,35,Cloudy,13.9,52,0,gen_c93f1011
Coffee Beans,2024-12-13,870.0,58,Cloudy,15.7,87,0,gen_b0040f6f
Milk,2024-12-13,372.0,124,Cloudy,15.7,186,0,gen_48ef738d
Croissant,2024-12-13,441.0,98,Cloudy,15.7,147,0,gen_2c32fa6a
Muffin,2024-12-13,245.0,70,Cloudy,15.7,105,0,gen_f47670c2
Sandwich,2024-12-13,368.0,46,Cloudy,15.7,69,0,gen_78f2e6b5
Juice,2024-12-13,371.0,106,Cloudy,15.7,159,30,gen_e02150bf
Tea,2024-12-13,268.0,67,Cloudy,15.7,100,0,gen_5cae5e90
Cake,2024-12-13,216.0,36,Cloudy,15.7,54,0,gen_27f38520
Salad,2024-12-13,279.0,31,Cloudy,15.7,46,0,gen_1c2c5e4d
Wrap,2024-12-13,307.5,41,Cloudy,15.7,61,0,gen_7ea6538f
Coffee Beans,2024-12-14,930.0,62,Cloudy,15.1,93,0,gen_dbdf3ac8
Milk,2024-12-14,369.0,123,Cloudy,15.1,184,0,gen_02ffdccd
Croissant,2024-12-14,445.5,99,Cloudy,15.1,148,0,gen_fcacbd4d
Muffin,2024-12-14,308.0,88,Cloudy,15.1,132,0,gen_b7b907b6
Sandwich,2024-12-14,448.0,56,Cloudy,15.1,84,0,gen_fd3be001
Juice,2024-12-14,490.0,98,Cloudy,15.1,147,0,gen_7ea50833
Tea,2024-12-14,308.0,77,Cloudy,15.1,115,0,gen_d5fec1d3
Cake,2024-12-14,234.0,39,Cloudy,15.1,58,0,gen_806d74ec
Salad,2024-12-14,315.0,35,Cloudy,15.1,52,0,gen_20da6da3
